fid,province,fire_id,latitude,longitude,year,size_ha,cause,size_class,class_weight
NFDB_point.410,Quebec,20231080218,53.0505,-75.3255,2023,885388.2142,Natural,mega fire,256
NFDB_point.827,Northwest Territories,SS022-23,60.290967,-111.85055,2023,641421.0,Natural,mega fire,256
NFDB_point.107,British Columbia,2023-G80280,57.6187,-122.0123,2023,619072.5,Natural,mega fire,256
NFDB_point.231,Saskatchewan,23LX-SMITH,55.984833,-106.58665,2023,543976.0,Natural,mega fire,256
NFDB_point.860,Northwest Territories,FS001-23,60.0514,-120.9759,2023,541766.0,Natural,mega fire,256
NFDB_point.724,Northwest Territories,SS067-23,60.018817,-118.325867,2023,430000.0,Natural,mega fire,256
NFDB_point.497,Quebec,20231080483,54.0569,-74.6378,2023,349357.0055,Natural,mega fire,256
NFDB_point.893,PC,2023WB7,59.6748,-112.4246,2023,348511.0,Natural,mega fire,256
NFDB_point.228,Saskatchewan,23LA-MCCRAE,56.06835,-105.85235,2023,339371.7,Natural,mega fire,256
NFDB_point.28,British Columbia,2023-G90288,59.9636,-120.9866,2023,290073.32,Natural,mega fire,256
NFDB_point.97,British Columbia,2023-G92498,58.5786,-120.9371,2023,275054.7,Natural,mega fire,256
NFDB_point.461,Quebec,20231080357,52.8959,-73.4055,2023,267371.2364,Natural,mega fire,256
NFDB_point.727,Northwest Territories,SS052-23,60.766667,-116.8,2023,252253.0,Natural,mega fire,256
NFDB_point.15178,Alberta,HWF058,58.16715,-118.41965,2023,234061.0,Natural,mega fire,256
NFDB_point.849,Northwest Territories,ZF015-23,62.938333,-115.105,2023,215280.41,Natural,mega fire,256
NFDB_point.15190,Alberta,HWF036,58.4906,-119.4031,2023,203022.0,Unknown,mega fire,256
NFDB_point.15147,Alberta,EWF031,53.145183,-115.686783,2023,201913.0,Natural,mega fire,256
NFDB_point.548,Quebec,20231080608,50.838,-78.4067,2023,193555.6816,Natural,mega fire,256
NFDB_point.226,Saskatchewan,23LX-SHAW,55.558417,-108.380233,2023,191000.0,Human,mega fire,256
NFDB_point.825,Northwest Territories,SS027-23,61.281233,-111.385017,2023,176000.0,Natural,mega fire,256
NFDB_point.543,Quebec,20231080602,52.7774,-78.3195,2023,174991.9983,Natural,mega fire,256
NFDB_point.65,British Columbia,2023-G90628,58.5021,-120.4118,2023,173353.1,Natural,mega fire,256
NFDB_point.142,British Columbia,2023-G60666,55.9468,-124.5446,2023,166856.9,Natural,mega fire,256
NFDB_point.456,Quebec,20231080344,49.1217,-76.7867,2023,143833.0429,Natural,mega fire,256
NFDB_point.15162,Alberta,SWF068,55.877833,-116.407667,2023,143039.0,Natural,mega fire,256
NFDB_point.579,Quebec,20231080485,53.3839,-76.1125,2023,133572.3,Natural,mega fire,256
NFDB_point.838,Northwest Territories,ZF013-23,64.24,-113.591667,2023,132001.0,Natural,mega fire,256
NFDB_point.15199,Alberta,MWF043,59.7624,-111.149033,2023,130805.0,Natural,mega fire,256
NFDB_point.542,Quebec,20231080601,53.0429,-77.1398,2023,130555.9184,Natural,mega fire,256
NFDB_point.453,Quebec,20231080334,50.4529,-74.1311,2023,124302.3948,Natural,mega fire,256
NFDB_point.15184,Alberta,SWF063,54.95775,-115.681083,2023,123670.0,Natural,mega fire,256
NFDB_point.887,PC,2023WB11,59.2167,-113.4225,2023,118948.0,Natural,mega fire,256
NFDB_point.588,Quebec,20231080587,53.0594,-77.9686,2023,113712.7,Natural,mega fire,256
NFDB_point.870,PC,2023WB18,59.762,-113.908,2023,109244.0,Natural,mega fire,256
